Tiempo;Distancia
1;102
2;102
3;102
4;102
5;102
6;102
7;102
8;102
9;102
10;102
11;101
12;101
13;102
14;102
15;102
16;102
17;101
18;102
19;101
20;102
21;101
22;102
23;102
24;101
25;101
26;101
27;102
28;102
29;102
30;102
31;102
32;102
33;101
34;102
35;101
36;101
37;102
38;102
39;102
40;102
41;102
42;102
43;102
44;101
45;102
46;102
47;101
48;101
49;102
50;101
51;102
52;102
53;101
54;101
55;101
56;102
57;102
58;102
59;102
60;101
61;101
62;102
63;102
64;101
65;102
66;101
67;101
68;101
69;101
70;102
71;102
72;102
73;101
74;102
75;102
76;102
77;101
78;101
79;102
80;101
81;102
82;101
83;102
84;101
85;102
86;102
87;102
88;102
89;102
90;102
91;101
92;102
93;102
94;101
95;101
96;102
97;101
98;102
99;102
100;102
101;101
102;101
103;102
104;101
105;102
106;101
107;101
108;102
109;102
110;101
111;100
112;101
113;101
114;100
115;101
116;100
117;100
118;101
119;101
120;100
121;100
122;100
123;100
124;99
125;100
126;100
127;100
128;99
129;100
130;99
131;98
132;99
133;99
134;98
135;98
136;98
137;98
138;98
139;98
140;98
141;97
142;98
143;96
144;97
145;97
146;96
147;96
148;97
149;96
150;96
151;96
152;96
153;95
154;95
155;95
156;95
157;95
158;95
159;95
160;94
161;94
162;93
163;93
164;93
165;93
166;92
167;93
168;92
169;93
170;92
171;91
172;91
173;91
174;91
175;91
176;90
177;90
178;90
179;90
180;89
181;89
182;89
183;89
184;88
185;88
186;88
187;88
188;88
189;87
190;87
191;87
192;86
193;86
194;86
195;85
196;86
197;85
198;85
199;85
200;85
201;84
202;83
203;83
204;83
205;83
206;83
207;82
208;82
209;81
210;81
211;80
212;81
213;80
214;80
215;80
216;79
217;79
218;78
219;78
220;78
221;77
222;78
223;77
224;77
225;76
226;77
227;76
228;75
229;75
230;75
231;75
232;74
233;74
234;19
235;18
236;72
237;73
238;73
239;72
240;72
241;71
242;71
243;71
244;71
245;70
246;69
247;69
248;69
249;69
250;68
251;68
252;67
253;67
254;67
255;66
256;66
257;66
258;66
259;65
260;65
261;65
262;64
263;64
264;63
265;63
266;62
267;62
268;62
269;62
270;61
271;61
272;60
273;60
274;60
275;59
276;60
277;59
278;58
279;58
280;58
281;57
282;57
283;21
284;21
285;21
286;20
287;20
288;55
289;54
290;55
291;55
292;54
293;53
294;53
295;53
296;52
297;52
298;52
299;51
300;51
301;50
302;50
303;50
304;49
305;49
306;49
307;48
308;48
309;47
310;47
311;47
312;46
313;46
314;46
315;45
316;44
317;44
318;44
319;44
320;43
321;43
322;43
323;43
324;42
325;41
326;41
327;41
328;40
329;40
330;40
331;39
332;39
333;39
334;38
335;38
336;38
337;37
338;37
339;36
340;36
341;36
342;36
343;35
344;34
345;34
346;34
347;33
348;33
349;33
350;33
351;32
352;32
353;32
354;31
355;30
356;30
357;30
358;30
359;29
360;29
361;29
362;28
363;28
364;28
365;27
366;27
367;27
368;26
369;26
370;25
371;25
372;24
373;24
374;25
375;24
376;24
377;23
378;23
379;22
380;22
381;22
382;21
383;21
384;21
385;21
386;20
387;20
388;20
389;19
390;19
391;18
392;18
393;18
394;17
395;18
396;17
397;17
398;16
399;16
400;16
401;15
402;15
403;14
404;14
405;13
406;13
407;13
408;12
409;12
410;11
411;11
412;11
413;11
414;10
415;9
416;9
417;9
418;9
419;8
420;8
421;8
422;7
423;7
424;7
425;7
426;6
427;6
428;6
429;6
430;6
431;5
432;5
433;6
434;5
435;5
436;5
437;5
438;5
439;5
440;5
441;5
442;5
443;5
444;5
445;5
446;5
447;5
448;5
449;5
450;5
451;5
452;5
453;6
454;5
455;5
456;5
457;5
458;5
459;5
460;5
461;5
462;5
463;5
464;5
465;5
466;5
467;5
468;5
469;5
470;5
471;5
472;5
473;5
474;5
475;5
476;5
477;5
478;5
479;5
480;5
481;5
482;5
483;5
484;5
485;5
486;5
487;5
488;5
489;5
490;5
491;5
492;5
493;5
494;5
495;5
496;5
497;5
498;5
499;5
500;5
501;5
502;5
503;5
504;5
505;5
506;5
507;5
508;5
509;5
510;5
511;5
512;5
513;5
514;5
515;5
516;5
517;5
518;5
519;5
520;5
521;5
522;5
523;5
524;5
525;5
526;5
527;5
528;5
529;5
530;5
531;5
532;5
533;5
534;5
535;5
536;5
537;5
538;5
539;5
540;5
541;5
542;5
543;5
544;5
545;5
546;5
547;5
548;5
549;5
550;5
551;5
552;5
